product_id,product_name,category_id,price,sku
146,Portable Gaming Mouse,6,34.65,SKU00146
147,Compact Speaker,10,373.19,SKU00147
148,Eco Cookware Set,9,194.13,SKU00148
149,Classic Gaming Mouse,9,300.14,SKU00149
150,Portable Drill Kit,5,413.44,SKU00150
151,Deluxe Pet Bed,2,89.32,SKU00151
152,Classic Gaming Mouse,6,227.22,SKU00152
153,Durable Cookware Set,3,135.45,SKU00153
154,Vintage Wireless Charger,7,332.73,SKU00154
155,Premium Speaker,1,94.80,SKU00155
156,Essential Air Purifier,8,345.34,SKU00156
157,Wireless Yoga Mat,10,342.84,SKU00157
158,Modern Air Purifier,10,213.75,SKU00158
159,Modern Gaming Mouse,10,489.52,SKU00159
160,Signature Camera,10,225.44,SKU00160
161,Durable Wireless Charger,9,326.02,SKU00161
162,Essential Garden Hose,5,316.22,SKU00162
163,Signature Headphones,6,222.08,SKU00163
164,Deluxe Backpack,7,387.53,SKU00164
165,Smart Headphones,10,316.02,SKU00165
166,Smart Garden Hose,10,154.12,SKU00166
167,Essential Speaker,10,319.86,SKU00167
168,Modern Wireless Charger,11,477.63,SKU00168
169,Vintage Gaming Mouse,3,451.12,SKU00169
170,Eco Speaker,10,464.09,SKU00170
171,Classic Coffee Maker,1,294.03,SKU00171
172,Ultra Sneakers,3,275.63,SKU00172
173,Essential Coffee Maker,7,333.87,SKU00173
174,Portable Pet Bed,8,487.23,SKU00174
175,Essential Speaker,12,95.49,SKU00175
176,Durable Coffee Maker,9,218.02,SKU00176
177,Deluxe Sunglasses,9,251.95,SKU00177
178,Ultra Water Bottle,8,354.39,SKU00178
179,Ultra Drill Kit,6,447.93,SKU00179
180,Portable Notebook,10,322.31,SKU00180
181,Eco Desk Lamp,5,370.74,SKU00181
182,Smart Desk Lamp,5,194.40,SKU00182
183,Essential Coffee Maker,12,467.02,SKU00183
184,Wireless Air Purifier,8,233.59,SKU00184
185,Durable Notebook,5,84.87,SKU00185
186,Vintage Drill Kit,7,263.56,SKU00186
187,Signature Cookware Set,3,195.35,SKU00187
188,Premium Camera,12,56.79,SKU00188
189,Ultra Jacket,11,173.06,SKU00189
190,Essential Sunglasses,4,137.42,SKU00190
191,Signature Drill Kit,5,373.32,SKU00191
192,Essential Notebook,3,76.58,SKU00192
193,Vintage Garden Hose,4,163.89,SKU00193
194,Premium Wireless Charger,4,423.08,SKU00194
195,Eco Speaker,2,275.86,SKU00195
196,Ultra Sunglasses,2,451.42,SKU00196
197,Portable Yoga Mat,1,365.67,SKU00197
198,Heritage Water Bottle,7,432.87,SKU00198
199,Heritage Sunglasses,8,431.33,SKU00199
200,Eco Camera,6,192.04,SKU00200
